"ITTER107","TIPO_DATO15","SEXISTAT1","ETA1","STATCIV2","TIME","Value","Flag Codes"
"015005","JAN","9","TOTAL","99","2018",4708,
"016003","JAN","9","TOTAL","99","2014",8320,
"016003","JAN","9","TOTAL","99","2015",8258,
"016003","JAN","9","TOTAL","99","2016",8252,
"016003","JAN","9","TOTAL","99","2017",8251,
"016003","JAN","9","TOTAL","99","2018",8244,
"018002","JAN","9","TOTAL","99","2014",243,
"018002","JAN","9","TOTAL","99","2015",245,
"018002","JAN","9","TOTAL","99","2016",250,
"018002","JAN","9","TOTAL","99","2017",252,
"018002","JAN","9","TOTAL","99","2018",254,
"014001","JAN","9","TOTAL","99","2014",328,
"014001","JAN","9","TOTAL","99","2015",327,
"014001","JAN","9","TOTAL","99","2016",315,
"014001","JAN","9","TOTAL","99","2017",307,
"014001","JAN","9","TOTAL","99","2018",300,
"013003","JAN","9","TOTAL","99","2014",6432,
"013003","JAN","9","TOTAL","99","2015",6455,
"013003","JAN","9","TOTAL","99","2016",6449,
"013003","JAN","9","TOTAL","99","2017",6388,
"013003","JAN","9","TOTAL","99","2018",6361,
"013004","JAN","9","TOTAL","99","2014",4260,
"013004","JAN","9","TOTAL","99","2015",4254,
"013004","JAN","9","TOTAL","99","2016",4201,
"013004","JAN","9","TOTAL","99","2017",4261,
"013004","JAN","9","TOTAL","99","2018",4251,
"108003","JAN","9","TOTAL","99","2014",6300,
"108003","JAN","9","TOTAL","99","2015",6298,
"108003","JAN","9","TOTAL","99","2016",6289,
"108003","JAN","9","TOTAL","99","2017",6319,
"108003","JAN","9","TOTAL","99","2018",6352,
"016004","JAN","9","TOTAL","99","2014",18217,
"016004","JAN","9","TOTAL","99","2015",18171,
"016004","JAN","9","TOTAL","99","2016",18074,
"016004","JAN","9","TOTAL","99","2017",17953,
"016004","JAN","9","TOTAL","99","2018",17903,
"013005","JAN","9","TOTAL","99","2014",2718,
"013005","JAN","9","TOTAL","99","2015",2739,
"013005","JAN","9","TOTAL","99","2016",2739,
"013005","JAN","9","TOTAL","99","2017",2722,
"013005","JAN","9","TOTAL","99","2018",2739,
"012002","JAN","9","TOTAL","99","2014",5350,
"012002","JAN","9","TOTAL","99","2015",5349,
"012002","JAN","9","TOTAL","99","2016",5341,
"012002","JAN","9","TOTAL","99","2017",5322,
"012002","JAN","9","TOTAL","99","2018",5299,
"013006","JAN","9","TOTAL","99","2014",1222,
"013006","JAN","9","TOTAL","99","2015",1216,
"013006","JAN","9","TOTAL","99","2016",1227,
"013006","JAN","9","TOTAL","99","2017",1244,
"013006","JAN","9","TOTAL","99","2018",1257,
"017006","JAN","9","TOTAL","99","2014",2477,
